Global Land and Ocean Temperature Anomalies,
Units: Degrees Celsius,
Base Period: 1901-2000,
Missing: -999,
Year,Value
195801,0.29
195802,0.21
195803,0.12
195804,0.11
195805,0.1
195806,0.06
195807,0.06
195808,0.05
195809,0.02
195810,0.04
195811,0.09
195812,0.15
195901,0.12
195902,0.06
195903,0.2
195904,0.12
195905,0.02
195906,0.08
195907,0.07
195908,0.05
195909,0.09
195910,-0.02
195911,-0.08
195912,-0.04
196001,0
196002,0.18
196003,-0.21
196004,-0.1
196005,-0.09
196006,0.07
196007,0.03
196008,0.04
196009,0.06
196010,0.03
196011,-0.05
196012,0.22
196101,0.12
196102,0.17
196103,0.16
196104,0.13
196105,0.16
196106,0.15
196107,0.03
196108,0.03
196109,-0.01
196110,-0.04
196111,0.01
196112,-0.02
196201,0.13
196202,0.17
196203,0.12
196204,0.07
196205,0.06
196206,0.06
196207,0.09
196208,0.05
196209,0.06
196210,0.08
196211,0.07
196212,0.08
196301,0.04
196302,0.25
196303,-0.03
196304,-0.01
196305,0.01
196306,0.05
196307,0.14
196308,0.15
196309,0.16
196310,0.21
196311,0.19
196312,0.08
196401,0.05
196402,-0.11
196403,-0.14
196404,-0.19
196405,-0.1
196406,-0.09
196407,-0.11
196408,-0.17
196409,-0.21
196410,-0.27
196411,-0.21
196412,-0.27
196501,-0.07
196502,-0.2
196503,-0.1
196504,-0.19
196505,-0.08
196506,-0.05
196507,-0.09
196508,-0.05
196509,-0.05
196510,0.02
196511,-0.09
196512,-0.02
196601,-0.05
196602,-0.04
196603,0
196604,-0.09
196605,-0.04
196606,0.05
196607,0.06
196608,0.02
196609,0.02
196610,-0.06
196611,-0.05
196612,-0.13
196701,-0.11
196702,-0.17
196703,0
196704,0
196705,0.12
196706,-0.03
196707,-0.02
196708,-0.01
196709,-0.03
196710,0.13
196711,-0.03
196712,-0.04
196801,-0.19
196802,-0.13
196803,0.15
196804,-0.07
196805,-0.08
196806,-0.02
196807,-0.02
196808,-0.02
196809,-0.01
196810,0.04
196811,0.01
196812,-0.05
196901,-0.13
196902,-0.11
196903,0.12
196904,0.19
196905,0.17
196906,0.07
196907,0.09
196908,0.09
196909,0.08
196910,0.07
196911,0.19
196912,0.24
197001,0.12
197002,0.23
197003,0.03
197004,0.13
197005,0.04
197006,0.03
197007,-0.03
197008,-0.02
197009,0
197010,-0.04
197011,0.02
197012,-0.1
197101,-0.01
197102,-0.22
197103,-0.14
197104,-0.13
197105,-0.09
197106,-0.13
197107,-0.07
197108,-0.07
197109,-0.05
197110,-0.08
197111,0.03
197112,-0.02
197201,-0.24
197202,-0.17
197203,0
197204,0.04
197205,0.01
197206,0.08
197207,0.06
197208,0.09
197209,0.02
197210,0.09
197211,0.08
197212,0.25
197301,0.26
197302,0.37
197303,0.33
197304,0.25
197305,0.21
197306,0.19
197307,0.11
197308,0.07
197309,0.05
197310,0.04
197311,0.02
197312,0.02
197401,-0.2
197402,-0.26
197403,-0.05
197404,-0.05
197405,-0.03
197406,-0.04
197407,0.02
197408,0.01
197409,-0.05
197410,-0.08
197411,-0.07
197412,-0.1
197501,0.12
197502,0.03
197503,0.11
197504,0.08
197505,0.07
197506,0.03
197507,0
197508,-0.07
197509,0.01
197510,-0.13
197511,-0.15
197512,-0.09
197601,-0.02
197602,-0.12
197603,-0.24
197604,-0.03
197605,-0.13
197606,-0.08
197607,-0.09
197608,-0.09
197609,-0.05
197610,-0.19
197611,-0.04
197612,0.09
197701,0.06
197702,0.23
197703,0.31
197704,0.28
197705,0.23
197706,0.24
197707,0.17
197708,0.14
197709,0.18
197710,0.11
197711,0.26
197712,0.11
197801,0.16
197802,0.12
197803,0.22
197804,0.13
197805,0.06
197806,0.05
197807,0.06
197808,0
197809,0.07
197810,0.06
197811,0.22
197812,0.15
197901,0.16
197902,0.09
197903,0.24
197904,0.11
197905,0.15
197906,0.21
197907,0.17
197908,0.22
197909,0.25
197910,0.29
197911,0.29
197912,0.5
198001,0.31
198002,0.35
198003,0.24
198004,0.31
198005,0.31
198006,0.24
198007,0.21
198008,0.19
198009,0.2
198010,0.18
198011,0.33
198012,0.26
198101,0.47
198102,0.36
198103,0.41
198104,0.35
198105,0.26
198106,0.28
198107,0.22
198108,0.24
198109,0.18
198110,0.17
198111,0.21
198112,0.42
198201,0.13
198202,0.16
198203,0.08
198204,0.2
198205,0.19
198206,0.12
198207,0.14
198208,0.14
198209,0.23
198210,0.18
198211,0.15
198212,0.43
198301,0.51
198302,0.48
198303,0.43
198304,0.29
198305,0.29
198306,0.26
198307,0.26
198308,0.32
198309,0.31
198310,0.21
198311,0.43
198312,0.27
198401,0.28
198402,0.17
198403,0.27
198404,0.15
198405,0.28
198406,0.13
198407,0.12
198408,0.17
198409,0.14
198410,0.11
198411,0.04
198412,-0.1
198501,0.17
198502,0.02
198503,0.19
198504,0.14
198505,0.19
198506,0.12
198507,0.07
198508,0.12
198509,0.1
198510,0.13
198511,0.11
198512,0.2
198601,0.32
198602,0.28
198603,0.29
198604,0.26
198605,0.25
198606,0.25
198607,0.16
198608,0.16
198609,0.17
198610,0.2
198611,0.15
198612,0.22
198701,0.31
198702,0.5
198703,0.25
198704,0.3
198705,0.33
198706,0.3
198707,0.41
198708,0.38
198709,0.43
198710,0.33
198711,0.33
198712,0.53
198801,0.55
198802,0.39
198803,0.48
198804,0.44
198805,0.38
198806,0.38
198807,0.34
198808,0.32
198809,0.32
198810,0.3
198811,0.23
198812,0.36
198901,0.21
198902,0.3
198903,0.33
198904,0.28
198905,0.27
198906,0.27
198907,0.3
198908,0.3
198909,0.3
198910,0.3
198911,0.25
198912,0.4
199001,0.35
199002,0.4
199003,0.73
199004,0.49
199005,0.42
199006,0.4
199007,0.34
199008,0.34
199009,0.31
199010,0.42
199011,0.47
199012,0.44
199101,0.45
199102,0.46
199103,0.36
199104,0.51
199105,0.4
199106,0.48
199107,0.44
199108,0.38
199109,0.38
199110,0.33
199111,0.32
199112,0.3
199201,0.47
199202,0.45
199203,0.43
199204,0.29
199205,0.32
199206,0.28
199207,0.13
199208,0.14
199209,0.06
199210,0.11
199211,0.09
199212,0.28
199301,0.38
199302,0.39
199303,0.42
199304,0.31
199305,0.34
199306,0.29
199307,0.23
199308,0.21
199309,0.17
199310,0.24
199311,0.09
199312,0.3
199401,0.29
199402,0.08
199403,0.35
199404,0.35
199405,0.38
199406,0.38
199407,0.31
199408,0.31
199409,0.33
199410,0.43
199411,0.45
199412,0.4
199501,0.55
199502,0.69
199503,0.46
199504,0.41
199505,0.35
199506,0.46
199507,0.42
199508,0.5
199509,0.38
199510,0.44
199511,0.45
199512,0.35
199601,0.26
199602,0.45
199603,0.32
199604,0.27
199605,0.38
199606,0.35
199607,0.32
199608,0.32
199609,0.26
199610,0.23
199611,0.28
199612,0.39
199701,0.37
199702,0.43
199703,0.46
199704,0.45
199705,0.42
199706,0.53
199707,0.5
199708,0.54
199709,0.62
199710,0.64
199711,0.58
199712,0.63
199801,0.6
199802,0.86
199803,0.63
199804,0.73
199805,0.66
199806,0.66
199807,0.73
199808,0.68
199809,0.52
199810,0.49
199811,0.41
199812,0.58
199901,0.5
199902,0.67
199903,0.37
199904,0.45
199905,0.41
199906,0.42
199907,0.4
199908,0.37
199909,0.39
199910,0.37
199911,0.37
199912,0.58
200001,0.34
200002,0.54
200003,0.55
200004,0.63
200005,0.46
200006,0.41
200007,0.39
200008,0.45
200009,0.43
200010,0.3
200011,0.26
200012,0.32
200101,0.47
200102,0.39
200103,0.63
200104,0.57
200105,0.6
200106,0.53
200107,0.56
200108,0.6
200109,0.5
200110,0.5
200111,0.69
200112,0.51
200201,0.69
200202,0.78
200203,0.79
200204,0.57
200205,0.56
200206,0.59
200207,0.62
200208,0.54
200209,0.56
200210,0.48
200211,0.59
200212,0.44
200301,0.69
200302,0.56
200303,0.57
200304,0.56
200305,0.6
200306,0.54
200307,0.54
200308,0.62
200309,0.64
200310,0.73
200311,0.58
200312,0.74
200401,0.6
200402,0.72
200403,0.7
200404,0.59
200405,0.45
200406,0.47
200407,0.48
200408,0.51
200409,0.53
200410,0.62
200411,0.76
200412,0.51
200501,0.62
200502,0.52
200503,0.69
200504,0.73
200505,0.66
200506,0.67
200507,0.66
200508,0.62
200509,0.69
200510,0.69
200511,0.73
200512,0.62
200601,0.46
200602,0.62
200603,0.6
200604,0.52
200605,0.55
200606,0.63
200607,0.62
200608,0.62
200609,0.63
200610,0.68
200611,0.64
200612,0.76
200701,0.88
200702,0.66
200703,0.66
200704,0.73
200705,0.61
200706,0.53
200707,0.52
200708,0.55
200709,0.57
200710,0.56
200711,0.51
200712,0.49
200801,0.27
200802,0.38
200803,0.76
200804,0.48
200805,0.5
200806,0.53
200807,0.57
200808,0.55
200809,0.53
200810,0.66
200811,0.66
200812,0.56
200901,0.59
200902,0.56
200903,0.58
200904,0.65
200905,0.59
200906,0.67
200907,0.64
200908,0.7
200909,0.71
200910,0.64
200911,0.67
200912,0.62
201001,0.7
201002,0.71
201003,0.85
201004,0.83
201005,0.76
201006,0.73
201007,0.72
201008,0.65
201009,0.57
201010,0.62
201011,0.77
201012,0.48
201101,0.46
201102,0.49
201103,0.58
201104,0.65
201105,0.57
201106,0.64
201107,0.62
201108,0.61
201109,0.6
201110,0.63
201111,0.49
201112,0.55
201201,0.42
201202,0.42
201203,0.52
201204,0.73
201205,0.72
201206,0.7
201207,0.68
201208,0.67
201209,0.72
201210,0.7
201211,0.71
201212,0.46
201301,0.58
201302,0.63
201303,0.61
201304,0.56
201305,0.71
201306,0.68
201307,0.66
201308,0.66
201309,0.68
201310,0.68
201311,0.82
201312,0.7
201401,0.69
201402,0.48
201403,0.77
201404,0.8
201405,0.79
201406,0.76
201407,0.7
201408,0.79
201409,0.79
201410,0.78
201411,0.69
201412,0.83
201501,0.81
201502,0.89
201503,0.9
201504,0.78
201505,0.86
201506,0.88
201507,0.81
201508,0.88
201509,0.92
201510,0.99
201511,0.96
201512,1.12
201601,1.05
201602,1.21
201603,1.23
201604,1.08
201605,0.88
201606,0.9
201607,0.87
201608,0.9
201609,0.88
201610,0.73
201611,0.75
201612,0.81
201701,0.91
201702,0.97
201703,1.02
201704,0.89
201705,0.82
201706,0.78
201707,0.83
201708,0.81
201709,0.78
201710,0.73
201711,0.76
201712,0.81
201801,0.7
201802,0.68
201803,0.83
